username,rating,useful,text,hashtags,retweets,date,mentions
bryanrbeal,0,0,Update: took 10 hours for my Ethereum payment to go through https://twitter.com/bryanrbeal/status/949134137184669696 …,,1,2018-01-05 23:59:59,
Bitso,0,0,Existe un problema generalizado con la red de ethereum. Tu retiro será reprocesado y enviado automáticamente en cuanto el servicio sea restablecido.,,0,2018-01-05 23:59:57,
jptosca74,0,0,@ Ripple CEO @ bgarlinghouse Fires Back at # cryptocurrency Critics http://fortune.com/2018/01/05/ripple-ceo-brad-garlinghouse-cryptocurrency-xrp/ … # ripple # xrp # ada # Zclassic # ZCL # Tron # TRX # Bitcoin # BTC # verge # doge # dogecoin # eth # Ethereum # xvg # xvgcurrency # WraithProtocol # crypto # cryptocurrency # news # Coinbase # Bitstamppic.twitter.com/CCFnf18X9F,# # # # # # # # # # # # # # # # # # # # # # #,1,2018-01-05 23:59:48,@ @
Bitso,0,0,Existe un problema generalizado con la red de ethereum. Tu retiro será reprocesado y enviado automáticamente en cuanto el servicio sea restablecido.,,0,2018-01-05 23:59:35,
Cutlet_Bot,0,0,Unbelievable. Chancoin is going through the roof. Awesome work devs! Join our Discord! http://discord.gg/9WpX5gE # bitcoin # btc $ btc # ethereum # eth $ eth # litecoin # ltc $ ltc # kraken # coinbase # bitfinex # binance # zaif # pepecash # altcoin # meme # cryptocurrency # cryptokittiespic.twitter.com/tQvUW9uq6O,# # # # # # # # # # # # # # # #,2,2018-01-05 23:59:33,
thenareshyadav,0,0,# Bitcoin # ripple # ethereum # Electroneum # cryptocurrencynewspic.twitter.com/smK1FEmXzE,# # # # #,1,2018-01-05 23:59:23,
atwellpub,0,0,Example of an ethereum loan contract from this article: https://media.consensys.net/18-predictions-for-2018-7a376ea7bd4b …pic.twitter.com/PvVVmx0u7k,,0,2018-01-05 23:59:06,
Bitso,0,0,Existe un problema generalizado con la red de ethereum. Tu retiro será reprocesado y enviado automáticamente en cuanto el servicio sea restablecido.,,0,2018-01-05 23:59:04,
AltcoinFiyatlar,0,0,"# Ethereum $ ETH USD = 979,19 $ TL = 3.658,16 ₺ Saatlik Değişim = % -0.16 Günlük Değişim = % -0.94 Haftalık Değişim = % 32.8 tüm güncel fiyatlar için takipte kalınız ...",#,0,2018-01-05 23:59:03,
AITRADEPRO,0,0,"@ jairoanaya thanks! The only reason I asked was because the firm I am working with will release a ML/AI product on Bitcoin, Ethereum and Litecoin in about a month. Dev. is almost done.",,0,2018-01-05 23:58:52,@
MSovak,0,0,"https://www.investors.com/news/bitcoin-jumps-ethereum-hits-a-high-visa-suspends-crypto-debit-cards/?src=A00220&yptr=yahoo … # Bitcoin Jumps, # Ethereum # Hits A High, Visa Suspends Crypto Debit Cards",# # #,0,2018-01-05 23:58:47,
livecryptonews,0,0,"New post (Dogecoin Developers Lament Billion Dollar Market Cap Milestone) has been published on LiveCrypto News - Bitcoin, Ethereum, NEO, ICO - https://www.livecrypto.news/dogecoin-developers-lament-billion-dollar-market-cap-milestone/ … # Crypto # Cryptonews # CryptoCurrenciespic.twitter.com/5YDJlipxqX",# # #,0,2018-01-05 23:58:28,
benwaghorn,0,0,"Expert reveals only ONE cryptocurrency will WIN – bitcoin, Ripple or ethereum? https://www.express.co.uk/finance/city/900805/Bitcoin-price-Ripple-ethereum-zcash-cryptocurrency … $ BTC $ XRP $ ETH # Cryptocurreny If only one, which will it be?",#,1,2018-01-05 23:58:18,
bitcoinvigil,0,0,"Bitcoin And Ethereum, QANON, Luciferians http://www.bitcoinvigilance.com/bitcoin/bitcoin-and-ethereum-qanon-luciferians/ …pic.twitter.com/dbxM5WBYd1",,0,2018-01-05 23:58:14,
